交易日期,品種代碼,魚貨名稱,市場名稱,上價,中價,下價,交易量,平均價
1120215,1011,吳郭魚,斗南,62.0,58.5,55.5,1599.7,58.6
1120215,1019,其他吳郭,埔心,133.0,116.9,47.3,165.5,106.2
1120215,1019,其他吳郭,彰化,135.0,120.0,70.0,190.2,119.5
1120215,1023,草魚,斗南,125.0,125.0,125.0,79.7,125.0
1120215,1023,草魚,台南,120.0,117.4,115.0,3745.5,117.5
1120215,1024,大頭鰱,三重,100.0,100.0,100.0,24.6,100.0
1120215,1027,烏鰡,台北,110.0,101.8,70.0,165.0,97.1
1120215,1027,烏鰡,埔心,115.0,115.0,115.0,6.3,115.0
1120215,1041,虱目魚,台北,120.4,118.6,105.5,3001.7,116.3
1120215,1041,虱目魚,岡山,127.4,112.5,100.3,5708.6,113.1
1120215,1041,虱目魚,新竹,118.9,115.1,113.1,440.8,115.5
1120215,1042,虱目魚肚,斗南,84.7,64.4,62.0,450.0,68.0
1120215,1043,虱目魚頭,苗栗,65.0,0.0,0.0,24.3,65.0
1120215,1051,烏仔魚,斗南,68.7,37.9,21.4,59.4,40.8
1120215,1061,豆仔,斗南,155.0,104.0,68.2,40.0,107.1
1120215,1071,金目鱸,台中,126.9,113.7,88.0,3828.0,107.8
1120215,1071,金目鱸,佳里,80.0,80.0,80.0,1.4,80.0
1120215,1071,金目鱸,埔心,149.8,110.3,96.8,2051.0,115.5
1120215,1072,加州鱸,埔心,122.0,113.1,96.3,516.0,111.5
1120215,1072,加州鱸,新竹,122.0,119.1,115.9,263.5,119.0
1120215,1073,七星鱸,台中,155.5,135.0,105.3,389.0,133.6
1120215,1073,七星鱸,台北,100.0,99.8,99.2,2614.5,99.8
1120215,1073,七星鱸,埔心,134.3,99.3,63.5,120.0,99.1
1120215,1073,七星鱸,嘉義,82.0,81.1,78.0,21.9,80.7
1120215,1073,七星鱸,彰化,191.0,125.0,90.0,132.0,124.6
1120215,1074,銀花鱸,埔心,167.8,151.1,124.0,69.6,149.0
1120215,1111,鯰魚,台中,0.0,232.3,0.0,63.0,232.3
1120215,1141,田蛙,台北,0.0,125.0,0.0,12.0,125.0
1120215,1141,田蛙,埔心,116.5,83.8,48.0,132.0,83.2
1120215,1163,黑鯛,佳里,150.0,150.0,150.0,1.0,150.0
1120215,1163,黑鯛,桃園,0.0,155.0,132.0,42.5,148.3
1120215,1165,黃鍚鯛,新竹,215.0,0.0,0.0,6.0,215.0
1120215,1171,青斑,台中,538.6,400.4,203.8,218.0,273.0
1120215,1174,珍珠龍膽/龍虎斑,彰化,203.0,180.0,128.0,756.8,173.9
1120215,1181,黃臘鰺(紅杉),台北,179.4,178.0,150.9,70.0,172.9
1120215,1272,午仔魚,新營,175.2,137.0,94.9,200.0,136.2
1120215,2011,加臘,桃園,0.0,180.0,0.0,48.0,180.0
1120215,2012,赤宗,新竹,392.8,269.4,80.0,66.6,256.2
1120215,2013,盤仔,斗南,50.0,46.1,46.0,76.0,46.8
1120215,2013,盤仔,苗栗,175.0,147.5,120.0,40.5,162.9
1120215,2021,金線,台中,446.3,304.7,70.5,311.0,347.7
1120215,2021,金線,新竹,300.0,292.5,285.0,16.0,292.5
1120215,2031,赤海,嘉義,190.0,188.5,173.9,42.0,185.9
1120215,2041,秋姑,台中,532.0,398.7,155.0,33.0,437.0
1120215,2042,紅魚,斗南,135.0,125.5,86.7,43.0,119.6
1120215,2061,黃花,台中,190.1,178.4,172.2,1109.0,178.8
1120215,2061,黃花,嘉義,170.1,168.1,166.8,708.8,168.3
1120215,2061,黃花,彰化,166.0,161.0,158.0,676.0,160.6
1120215,2064,白口,新竹,113.0,110.0,103.3,119.7,109.3
1120215,2064,白口,嘉義,111.5,107.8,107.0,440.0,108.4
1120215,2071,四破,台中,93.5,49.5,37.3,667.0,42.3
1120215,2074,巴闌,桃園,42.0,33.0,28.0,335.7,35.4
1120215,2075,紅尾,桃園,0.0,40.0,0.0,80.0,40.0
1120215,2079,紅魽,澎湖,197.0,162.7,147.0,184.5,166.4
1120215,2091,白鯧,台中,1230.3,712.7,375.0,88.0,631.8
1120215,2099,其他鯧類,新竹,148.0,0.0,0.0,16.0,148.0
1120215,2106,勿仔,桃園,200.0,180.0,0.0,24.0,181.7
1120215,2113,黃鰭鮪,埔心,54.0,54.0,54.0,17.8,54.0
1120215,2115,小串仔,岡山,80.0,73.2,46.1,562.6,69.2
1120215,2121,真鰹,桃園,0.0,57.0,0.0,12.0,57.0
1120215,2122,花鰹,台北,70.0,59.0,44.4,350.1,58.3
1120215,2124,煙仔虎,新營,93.0,87.7,82.0,47.0,87.6
1120215,2134,白皮旗,台北,244.7,229.0,180.0,30.6,222.3
1120215,2142,馬加,桃園,241.2,180.8,139.2,91.4,182.2
1120215,2143,白北,嘉義,184.0,184.0,184.0,10.0,184.0
1120215,2152,鯊條,苗栗,0.0,0.0,25.0,21.0,25.0
1120215,2157,水鯊,新竹,38.9,30.0,23.2,198.3,30.4
1120215,2161,魷魚,斗南,108.0,108.0,108.0,45.0,108.0
1120215,2161,魷魚,彰化,96.0,95.0,95.0,120.0,95.4
1120215,2165,軟舌,桃園,220.0,209.1,60.0,81.0,202.3
1120215,2169,章魚,斗南,159.0,159.0,159.0,15.0,159.0
1120215,2181,馬頭魚,三重,0.0,150.0,125.0,308.0,131.4
1120215,2181,馬頭魚,台中,454.5,179.2,81.0,407.0,109.3
1120215,2201,石斑魚,台南,400.0,360.8,330.0,653.0,362.5
1120215,2211,狗母,台中,143.5,73.8,30.5,56.0,59.0
1120215,2321,油魚,台北,0.0,65.0,0.0,80.0,65.0
1120215,2331,鯖魚,埔心,78.0,78.0,67.3,7.3,75.9
1120215,2341,（日本）白帶魚,斗南,117.9,70.4,45.7,426.0,74.9
1120215,2341,（日本）白帶魚,澎湖,240.0,220.6,190.0,74.0,218.4
